HEI Name,UII,Region,HEI Type,Province,City/Municipality,Status
Colegio San Agustin-Biñan,04176,4,1,Laguna,Biñan City,Existing
AMA Computer College-East Rizal,04177,4,1,Rizal,Antipolo City,Existing
Mindoro State University-Bongabong Campus,04178,17,2b,Oriental Mindoro,Bongabong,Existing
Occidental Mindoro State College-Murtha Campus,04179,17,2b,Occidental Mindoro,San Jose,Existing
Occidental Mindoro State College-Mamburao,04179a,17,2b,Occidental Mindoro,Mamburao,Existing
Occidental Mindoro State College-Sablayan Campus,04179b,17,2b,Occidental Mindoro,Sablayan,Existing
Oblates of Saint Joseph College of Philosophy,04180,4,1,Batangas,Lipa City,Existing
Inter-Global College Foundation,04181,4,1,Quezon Province,Lucena City,Existing
University of Perpetual Help System Dalta-Calamba,04182,4,1,Laguna,Calamba City,Existing
Dalubhasaan ng Lungsod ng San Pablo,04185,4,3,Laguna,San Pablo City,Existing
St. Alphonsus School of Theology,04186,4,1,Quezon Province,Lucena City,Existing
IETI College of Science and Technology,04188,4,1,Laguna,San Pedro City,Existing
Philippine National Police Academy,04189,4,4b,Cavite,Silang,Existing
Adventist International Institute of Advanced Studies,04190,4,1,Cavite,Silang,Existing
Binangonan Catholic College,04192,4,1,Rizal,Binangonan,Existing
Prince of Peace College,04193,17,1,Oriental Mindoro,Puerto Galera,Existing
AMA College-Cavite,04195,4,1,Cavite,Dasmariñas City,Existing
AMA Computer College-Batangas City,04196,4,1,Batangas,Batangas City,Existing
Southern Luzon State University-Tagkawayan,04198,4,2b,Quezon Province,Tagkawayan,Existing
Emilio Aguinaldo College - Cavite,04199,4,1,Cavite,Dasmariñas City,Existing
Alitagtag College,04200,4,1,Batangas,Alitagtag,Existing
AMA Computer College-Lipa City,04201,4,1,Batangas,Lipa City,Existing
John Paul College,04202,17,1,Oriental Mindoro,Roxas,Existing
Marinduque State University-Gasan Campus,04203,17,2b,Marinduque,Gasan,Existing
Marinduque State University-Sta. Cruz Campus,04204,17,2b,Marinduque,Sta. Cruz,Existing
National College of Science and Technology (NCST),04205,4,1,Cavite,Dasmariñas City,Existing
Palawan State University-Araceli,04206,17,2b,Palawan,Araceli,Existing
Palawan State University- Brooke's Point,04207,17,2b,Palawan,Brooke's Point,Existing
Palawan State University-Coron,04208,17,2b,Palawan,Coron,Existing
Palawan State University-Cuyo,04209,17,2b,Palawan,Cuyo,Existing
Palawan State University-Quezon,04210,17,2b,Palawan,Quezon,Existing
Palawan State University-Roxas,04211,17,2b,Palawan,Roxas,Existing
Palawan State University-Taytay,04212,17,2b,Palawan,Taytay,Existing
Romblon State University-Calatrava Campus,04213,17,2b,Romblon,Calatrava,Existing
Romblon State University-San Agustin Campus,04215,17,2b,Romblon,San Agustin,Existing
Romblon State University-Cajidiocan Campus,04216,17,2b,Romblon,Cajidiocan,Existing
Romblon State University-Sta. Fe Campus,04217,17,2b,Romblon,Sta. Fe,Existing
Romblon State University-Sta. Maria Campus,04218,17,2b,Romblon,Sta. Maria,Existing
Romblon State University-Romblon Campus,04219a,17,2b,Romblon,Romblon,Existing
University of Rizal System-Angono,04220,4,2b,Rizal,Angono,Existing
University of Rizal System-Pililia,04221,4,2b,Rizal,Pililia,Existing
University of Rizal System-Rodriguez,04222,4,2b,Rizal,Rodriguez,Existing
Rogationist College,04223,4,1,Cavite,Silang,Existing
Southern Luzon State University-Infanta,04224,4,2b,Quezon Province,Infanta,Existing
St. John Colleges,04225,4,1,Laguna,Calamba City,Existing
Western Philippines University-Puerto Princesa,04227,17,2b,Palawan,Puerto Princesa City,Existing
Southern Luzon State University-Alabat,04228,4,2b,Quezon Province,Alabat,Existing
Southern Luzon State University-Lucena,04229,4,2b,Quezon Province,Lucena City,Existing
Southern Luzon State University-Polilio,04230,4,2b,Quezon Province,Polillo,Existing
AMA Computer College-Calamba,04232,4,1,Laguna,Calamba City,Existing
AMA Computer College-Lucena,04233,4,1,Quezon Province,Lucena City,Existing
Cavite West Point College,04234,4,1,Cavite,Ternate,Existing
Our Lady of Assumption College of Laguna,04235,4,1,Laguna,San Pedro City,Existing
San Lorenzo Ruiz Seminary,04236,17,1,Romblon,Odiongan,Existing
Southern Philippines Institute of Science and Technology,04237,4,1,Cavite,Imus City,Existing
St. Matthew College,04239,4,1,Rizal,San Mateo,Existing
World Citi Colleges-Antipolo City,04240,4,1,Rizal,Antipolo City,Existing
"Palawan State University-New Ibajay, El Nido",04243,17,2b,Palawan,El Nido,Existing
University of Rizal System-Binangonan,04244,4,2b,Rizal,Binangonan,Existing
ABE International Business College-Cainta,04245,4,1,Rizal,Cainta,Existing
First Asia Institute of Technology and Humanities,04250,4,1,Batangas,Tanauan City,Existing
Holy Child Jesus College,04251,4,1,Quezon Province,Gumaca,Existing
Lyceum of the Philippines-Laguna,04252,4,1,Laguna,Calamba City,Existing
St. Jude College Dasmarifias Cavite,04254,4,1,Cavite,Dasmariñas City,Existing
Wesleyan University-Philippines-Aurora,04256,3,1,Aurora,Maria Aurora,Existing
Saint Francis Institute of Computer Studies,04257,4,1,Laguna,San Pedro City,Existing
Palawan State University-Rizal,04259,17,2b,Palawan,Rizal,Existing
Cavite State University-Cavite City Campus,04260,4,2b,Cavite,Cavite City,Existing
LPU-St. Cabrini School of Health Sciences,04262,4,1,Laguna,Calamba City,Existing
Clarendon College,04266,17,1,Oriental Mindoro,Roxas,Existing
Baptist Bible Seminary and Institute,04267,4,1,Rizal,Taytay,Existing
Baptist Voice Bible College,04269,4,1,Quezon Province,Lucena City,Existing
Calamba Doctors' College,04272,4,1,Laguna,Calamba City,Existing
Mina de Oro Institute of Science and Technology,04273,17,1,Oriental Mindoro,Victoria,Existing
LNC Corinthian Center,04274,4,1,Laguna,Sta. Rosa City,Existing
STI College-Rosario,04278,4,1,Cavite,Rosario,Existing
Unida Christian Colleges,04279,4,1,Cavite,Imus City,Existing
Dalubhasaan ng Lungsod ng Lucena,04280,4,3,Quezon Province,Lucena City,Existing
Ark of the Covenant Montessori Chamber of Learning College,04283,17,1,Oriental Mindoro,Victoria,Existing
Mabini College of Batangas,04284,4,1,Batangas,Mabini,Existing
STI College-Balayan,04285,4,1,Batangas,Balayan,Existing
STI College Santa Rosa,04286,4,1,Laguna,Sta. Rosa City,Existing
University of Rizal System-Cainta,04287,4,2b,Rizal,Cainta,Existing
University of Rizal System-Cardona,04288,4,2b,Rizal,Cardona,Existing
University of Rizal System-Antipolo,04289,4,2b,Rizal,Antipolo City,Existing
La Consolacion College-Tanauan,04291,4,1,Batangas,Tanauan City,Existing
DMMC Institute of Health Sciences,04293,4,1,Batangas,Tanauan City,Existing
Saint Francis of Assisi College-Cavite,04294,4,1,Cavite,Bacoor City,Existing
Olivarez College-Tagaytay,04295,4,1,Cavite,Tagaytay City,Existing
St. Dominic College of Asia,04296,4,1,Cavite,Bacoor City,Existing
Power School of Technology,04297,4,1,Cavite,Tanza,Existing
PVVU CDCEC Calamba,04299,4,1,Laguna,Calamba City,Existing
Palawan Technological College,04302,17,1,Palawan,Puerto Princesa City,Existing
Pamantasan ng Cabuyao,04305,4,3,Laguna,Cabuyao City,Existing
Our Lady of the Most Holy Rosary Seminary,04307,4,1,Quezon Province,Lucban,Existing
Batangas Eastern Colleges,04308,4,1,Batangas,San Juan,Existing
Batangas State University-Lemery,04309,4,2b,Batangas,Lemery,Existing
Cavite State University-Carmona Campus,04318,4,2b,Cavite,Carmona,Existing
Cavite State University-Imus Campus,04319,4,2b,Cavite,Imus City,Existing
"Southdale International School of Science, Arts and Techology",04324,4,1,Cavite,Imus City,Existing
ISHRM School System-Bacoor,04325,4,1,Cavite,Bacoor City,Existing
STI College-Dasmariñas,04326,4,1,Cavite,Dasmariñas City,Existing
QCRS College,04329,4,1,Quezon Province,Lucena City,Existing
St. Francis de Sales Theological Seminary,04331,4,1,Batangas,Lipa City,Existing
Innovative College of Science and Technology,04331b,17,1,Oriental Mindoro,Bongabong,Existing
Gardner College Cainta,04332,4,1,Rizal,Cainta,Existing
St. Anthony College-Calapan City,04332b,17,1,Oriental Mindoro,Calapan City,Existing
PNTC Colleges,04333,4,1,Cavite,Dasmariñas City,Existing
International Peace Leadership College,04334,4,1,Rizal,Tanay,Existing
STI College-Tanauan,04336,4,1,Batangas,Tanauan City,Existing
Philippine Women's University-Career Development and Continuing Education Center-Sta. Cruz,04338,4,1,Laguna,Sta. Cruz,Existing
Manuel S. Enverga Institute Foundation-San Antonio,04339,4,1,Quezon Province,San Antonio,Existing
All Nations College,04340,4,1,Rizal,Antipolo City,Existing
International Christian College of Manila,04341,4,1,Rizal,Antipolo City,Existing
Philippine International College,04342,4,1,Rizal,Antipolo City,Existing
Teodoro M. Luansing College of Rosario,04344,4,1,Batangas,Rosario,Existing
Colegio de Montalban,04345,4,3,Rizal,Rodriguez,Existing
Pambayang Kolehiyo ng Mauban,04348,4,3,Quezon Province,Mauban,Existing
Cavite State University-Trece Martires City Campus,04350,4,2b,Cavite,Trece Martires City,Existing
Our Lady of Assumption College-Cabuyao,04351,4,1,Laguna,Cabuyao City,Existing
Skill Power Institute,04352,4,1,Rizal,Antipolo City,Existing
Oxfordian Colleges,04354,4,1,Cavite,Dasmariñas City,Existing
CVE Colleges,04355,4,1,Quezon Province,Pagbilao,Existing
City College of Calamba,04356,4,3,Laguna,Calamba City,Existing
San Sebastian College Recoletos-Canlubang,04357,4,1,Laguna,Calamba City,Existing
Laguna University,04358,4,3,Laguna,Sta. Cruz,Existing
Colegio ng Lungsod ng Batangas,04359,4,3,Batangas,Batangas City,Existing
Westmead International School,04360,4,1,Batangas,Batangas City,Existing
Agoncillo College,04361,4,1,Batangas,Agoncillo,Existing
Cavite State University-Silang Campus,04362,4,2b,Cavite,Silang,Existing
Batangas State University-Alangilan,04363,4,2b,Batangas,Batangas City,Existing
Colegio de Amore,04365,4,1,Cavite,Trece Martires City,Existing
Far Eastern Polytechnic College,04366,4,1,Cavite,Dasmariñas City,Existing
Immanuel Theological Seminary,04367,4,1,Cavite,Dasmariñas City,Existing
Batangas College of Arts and Sciences,04369,4,1,Batangas,Lipa City,Existing
University of Rizal System-Taytay,04370,4,2b,Rizal,Taytay,Existing
Southern Luzon State University-Tiaong Campus,04371,4,2b,Quezon Province,Tiaong,Existing
Malayan Colleges of Laguna,04372,4,1,Laguna,Cabuyao City,Existing
City College of Tagaytay,04375,4,3,Cavite,Tagaytay City,Existing
NYK-TDG Maritime Academy,04376,4,1,Laguna,Calamba City,Existing
Brookfield College in Cavite,04377,4,1,Cavite,Dasmariñas City,Existing
Sumulong College of Arts & Sciences (SCAS),04378,4,1,Rizal,Antipolo City,Existing
St. Vincent College of Cabuyao,04379,4,1,Laguna,Cabuyao City,Existing
Our Lady of Fatima University-Antipolo,04380,4,1,Rizal,Antipolo City,Existing
STI College-Tanay,04381,4,1,Rizal,Tanay,Existing
Lyceum of the Philippines-Cavite,04382,4,1,Cavite,General Trias City,Existing
Asian Institute of Technology and Education-Tiaong Campus,04383,4,1,Quezon Province,Tiaong,Existing
Cavite State University-Tanza Campus,04384,4,2b,Cavite,Tanza,Existing
Cavite State University-Bacoor City Campus,04385,4,2b,Cavite,Bacoor City,Existing
Cavite State University-General Trias Campus,04386,4,2b,Cavite,General Trias City,Existing
San Mateo Municipal College,04387,4,3,Rizal,San Mateo,Existing
Philippine Best Training Systems Colleges,04388,4,1,Rizal,Binangonan,Existing
St. Joseph's College of Rodriguez,04389,4,1,Rizal,Rodriguez,Existing
Trece Martires City College,04390,4,3,Cavite,Trece Martires City,Existing
Southern Luzon State University-Gumaca Campus,04391,4,2b,Quezon Province,Gumaca,Existing
Colegio de Porta Vaga,04395,4,1,Cavite,Imus City,Existing
STI College-Tagaytay,04397,4,1,Cavite,Tagaytay City,Existing
Colegio de Santo Cristo de Burgos,04398,4,1,Quezon Province,Sariaya,Existing
East Systems College of Rizal,04400,4,1,Rizal,Morong,Existing
Alpha Centauri Educational System,04401,4,1,Quezon Province,Lucena City,Existing
Laguna Northwestern College-SLRMC,04403,4,1,Laguna,Siniloan,Existing
FEU Cavite,04404,4,1,Cavite,Silang,Existing
Trimex Colleges,04405,4,1,Laguna,Biñan City,Existing
Granby Colleges of Science & Technology,04407,4,1,Cavite,Naic,Existing
Kurios Christian Colleges Foundation,04408,4,1,Cavite,Magallanes,Existing
ABE International Business College-Quezon,04410,4,1,Quezon Province,Lucena City,Existing
Acts Computer College-Infanta,04411,4,1,Quezon Province,Infanta,Existing
Asia-Pacific Christian College and Seminary,04412,4,1,Rizal,Rodriguez,Existing
Asia Technological School of Science and Arts (ASIATECH),04413,4,1,Laguna,Sta. Rosa City,Existing
"CSTC College of Sciences, Technology and Communications-Sariaya",04414,4,1,Quezon Province,Sariaya,Existing
Evangelical Theological College of the Philippines-Luzon,04415,4,1,Rizal,Cainta,Existing
Guinayangan College Foundation,04416,4,1,Quezon Province,Guinayangan,Existing
ICCT Colleges-Antipolo,04417,4,1,Rizal,Antipolo City,Existing
ICCT Colleges-San Mateo,04418,4,1,Rizal,San Mateo,Existing
Jesus Reigns Christian College-Amadeo Foundation,04420,4,1,Cavite,Amadeo,Existing
"Mary Help of Christian College, Salesian Sisters",04422,4,1,Laguna,Calamba City,Existing
South Forbes City College,04424,4,1,Cavite,Silang,Existing
The Bearer of Light and Wisdom Colleges,04425,4,1,Cavite,Bacoor City,Existing
University of Batangas-Lipa,04426,4,1,Batangas,Lipa City,Existing
West Point College-Magallanes,04427,4,1,Cavite,Magallanes,Existing
General Trias College of Cavite,04428,4,1,Cavite,General Trias City,Existing
Southern Luzon State University-Catanauan,04430,4,2b,Quezon Province,Catanauan,Existing
ACLC College of Taytay,04431,4,1,Rizal,Taytay,Existing
College of Arts and Sciences of Asia and the Pacific,04432,4,1,Rizal,Taytay,Existing
New Sinai School and Colleges-Sta. Rosa,04433,4,1,Laguna,Sta. Rosa City,Existing
St. Mary Magdalene Colleges of Laguna,04435,4,1,Laguna,Calamba City,Existing
BWEST College,04436,4,1,Quezon Province,Lucena City,Existing
Center for Biblical Studies Institute & Seminary,04437,4,1,Rizal,Antipolo City,Existing
Grain of Wheat College,04439,4,1,Rizal,Taytay,Existing
ICT-ED Institute of Science and Technology,04440,4,1,Batangas,Lipa City,Existing
ICCT Colleges-Binangonan,04441,4,1,Rizal,Binangonan,Existing
ICCT Colleges-Taytay,04442,4,1,Rizal,Taytay,Existing
Mater Redemptoris Collegium,04443,4,1,Laguna,Calauan,Existing
Mind and Integrity College,04444,4,1,Laguna,Calamba City,Existing
College of Saint John Paul II Arts And Sciences,04446,4,1,Rizal,Cainta,Existing
St. Augustine School of Nursing-Lipa,04447,4,1,Batangas,Lipa City,Existing
Paul College of Leadership,04448,4,1,Rizal,Cainta,Existing
ACLC College of San Pablo,04450,4,1,Laguna,San Pablo City,Existing
Citi Global College-Biñan,04453,4,1,Laguna,Biñan City,Existing
Far East Asia Pacific Institute of Tourism Science and Technology,04454,4,1,Cavite,Tanza,Existing
Guardian Bona Fide for Hope Foundation,04455,4,1,Laguna,Biñan City,Existing
St. Augustine School of Nursing - Lucena,04458,4,1,Quezon Province,Lucena City,Existing
Nova Schola Tanauan,04459,4,1,Batangas,Tanauan City,Existing
Daehan College of Business and Technology,04462,4,1,Rizal,TayTay,Existing
Citi Global College-Cabuyao,04463,4,1,Laguna,Cabuyao City,Existing
New Era University - Lipa Campus,04464,4,1,Batangas,Lipa City,Existing
Saint Joseph College of Rosario Batangas,04466,4,1,Batangas,Rosario,Existing
CARD-MRI Development Institute,04467,4,1,Laguna,Bay,Existing
Colegio de Sto. Domingo de Silos,04468,4,1,Batangas,Calatagan,Existing
Our Lady of La Sallete College Seminary,04469,4,1,Cavite,Silang,Existing
Antipolo Institute of Technology (AITECH),04470,4,3,Rizal,Antipolo City,Existing
Marasigan Institute of Science and Technology (M.I.S.T.),04471,4,1,Cavite,Dasmariñas City,Existing
Renaissance School of Science and Technology,04473,4,1,Rizal,Morong,Existing
Tanauan City College,04475,4,3,Batangas,Tanauan City,Existing
Grabsum School,04476,4,1,Quezon Province,Candelaria,Existing
Royal British College,04477,4,1,Batangas,Lipa City,Existing
Sapphire International Aviation Academy,04478,4,1,Batangas,Tanauan City,Existing
Southbay Montessori School and Colleges,04479,4,1,Laguna,Sta. Cruz,Existing
St. Ignatius Technical Institute of Business and Arts,04480,4,1,Laguna,Sta. Rosa City,Existing
Westbridge Institute of Technology,04482,4,1,Laguna,Cabuyao City,Existing
AISAT College-Dasmariñas,04483,4,1,Cavite,Dasmariñas City,Existing
Lyceum de San Pablo,04484,4,1,Laguna,San Pablo City,Existing
MOL Magsaysay Maritime Academy,04485,4,1,Cavite,Dasmariñas City,Existing
"Southern Luzon College of Business, Maritime, Science and Technology",04486,4,1,Cavite,Dasmariñas City,Existing
One Cainta College,04487,4,3,Rizal,Cainta,Existing
Informatics College Cavite,04488,4,1,Cavite,Imus City,Existing
New Era University-Baras Campus,04490,4,1,Rizal,Baras,Existing
NU Sports Academy,04491,4,1,Laguna,Calamba City,Existing
Olinsterg College,04492,4,1,Quezon Province,Tiaong,Existing
Our Lady of Fatima University-Laguna,04493,4,1,Laguna,Sta. Rosa City,Existing
Red Link Institute of Science & Technology,04494,4,1,Laguna,Calamba City,Existing
Saint Peter's School (Calauag),04495,4,1,Laguna,Calauag,Existing
CSTC College of Sciences Technology and Communications-Atimonan,04496,4,1,Quezon Province,Atimonan,Existing
De La Salle-College of Saint Benilde-Antipolo,04497,4,1,Rizal,Antipolo City,Existing
Saint Benilde International School-Calamba,04498,4,1,Laguna,Calamba City,Existing
St. Ignatius Technical Institute of Business and Arts-Cabuyao,04499,4,1,Laguna,Cabuyao City,Existing
St. Therese College of Arts and Sciences,04500,4,1,Laguna,Pila,Existing
Victory Elijah Christian College,04501,4,1,Rizal,Antipolo City,Existing
Magna Anima Teachers College,04503,4,1,Laguna,Sta. Rosa City,Existing
St. John Bosco College of Tayabas,04504,4,1,Quezon Province,Tayabas City,Existing
Kolehiyo ng Lungsod ng Dasmariñas,04506,4,3,Cavite,Dasmariñas City,Existing
Colegio de La Ciudad de Tayabas,04507,4,3,Quezon Province,Tayabas City,Existing
Lyceum of Southern Luzon,04509,4,1,Batangas,Balayan,Existing
NU Dasmariñas,04510,4,1,Cavite,Dasmariñas City,Existing
Philippine Technological Institute of Science Arts and Trade-Central,04511,4,1,Cavite,General Mariano Alvarez,Existing
Samuel Christian College of General Trias,04512,4,1,Cavite,General Trias City,Existing
St. Peregrine Institute,04513,4,1,Cavite,Bacoor City,Existing
CITI Global College-Calamba,04514,4,1,Laguna,Calamba City,Existing
Manuel S. Enverga University Foundation-Calauag,04515,4,1,Quezon Province,Calauag,Existing
Eastern Star Academy,04516,4,1,Rizal,San Mateo,Existing
Batangas State University-Mabini,04517,4,2b,Batangas,Mabini,Existing
Southern Luzon State University-Tayabas,04518,4,2b,Quezon Province,Tayabas City,Existing
NU Lipa,04519,4,1,Batangas,Lipa City,Existing
St. Ignatius Technical Institute of Business and Arts-Biñan,04520,4,1,Laguna,Biñan City,Existing
Trent Information First Technical Career Insitute,04521,4,1,Rizal,Taytay,Existing
Angono Catholic College,04523,4,1,Rizal,Angono,Existing
"Asian Institute of Technology, Sciences and Arts (AITSA)",04524,4,1,Laguna,Cabuyao City,Existing
Banahaw Technological College,04525,4,1,Quezon Province,Lucban,Existing
Lyceum Technological College,04526,4,1,Quezon Province,Tiaong,Existing
Philippine Christian University-Cavite,04527,4,1,Cavite,Dasmariñas City,Existing
Asian Institute of Computer Studies-Bacoor,04528,4,1,Cavite,Bacoor City,Existing
Asian Institute of Computer Studies-Batangas City,04529,4,1,Batangas,Batangas City,Existing
Asian Institute of Computer Studies-Montalban,04530,4,1,Rizal,Rodriguez,Existing
Calaca City Global College,04531,4,3,Batangas,Calaca City,Existing
Colegio de General Luna,04532,4,3,Quezon Province,General Luna,Existing
San Francisco Municipal College,04533,4,3,Quezon Province,San Francisco,Existing
Westbridge Institute of Technology-San Mateo,04534,4,1,Rizal,San Mateo,Existing
Colegio de Laurel,04535,4,3,Batangas,Laurel,Existing
Datacom Institute of Computer Technology,04536,4,1,Cavite,Imus City,Existing
Laguna State Polytechnic University-Lopez,04537,4,2b,Quezon Province,Lopez,Existing
Lake Shore Educatuonal Institution,04538,4,1,Laguna,Biñan City,Existing
Lyceum of Tingloy de San Roque,04539,4,1,Batangas,Tingloy,Existing
Padre Garcia Polytechnic College,04540,4,3,Batangas,Padre Garcia,Existing
St. John Paul II College Seminary of Antipolo,04541,4,1,Rizal,Antipolo City,Existing
St. Dominic Savio College - Ibaan,04542,4,1,Batangas,Ibaan,Existing
Aemilianum College,05001,5,1,Sorsogon,Sorsogon City,Existing
Ago Medical and Educational Center,05003,5,1,Albay,Legazpi City,Existing
Bicol Christian College of Medicine,05003a,5,1,Albay,Legazpi City,Existing
De Vera Institute of Technology,05005,5,1,Albay,Legazpi City,Existing
Annunciation College of Bacon Sorsogon Unit,05007,5,1,Sorsogon,Sorsogon City,Existing
University of Santo Tomas-Legazpi,05008,5,1,Albay,Legazpi City,Existing
Ateneo de Naga University,05009,5,1,Camarines Sur,Naga City,Existing
Bicol College,05011,5,1,Albay,Daraga,Existing
Bicol State College of Applied Sciences and Technology,05012,5,2a,Camarines Sur,Naga City,Existing
Central Bicol State University of Agriculture-Sipocot,05013,5,2b,Camarines Sur,Sipocot,Existing
Bicol Merchant Marine College,05014,5,1,Sorsogon,Sorsogon City,Existing
Bicol University,05015,5,2a,Albay,Legazpi City,Existing
Bicol University-Daraga Campus,05016,5,2b,Albay,Daraga,Existing
Bicol University-College of Agriculture and Forestry,05017,5,2b,Albay,Guinobatan,Existing
Bicol University-Tabaco Campus,05018,5,2b,Albay,Tabaco City,Existing
Camarines Norte College,05020,5,1,Camarines Norte,Labo,Existing
Camarines Norte State College,05021,5,2a,Camarines Norte,Daet,Existing
City College of Naga,05022,5,3,Camarines Sur,Naga City,Existing
Camarines Sur Polytechnic Colleges,05023,5,2a,Camarines Sur,Nabua,Existing
Central Bicol State University of Agriculture,05024,5,2a,Camarines Sur,Pili,Existing
Caramoan Community College,05025,5,3,Camarines Sur,Caramoan,Existing
Cataingan Municipal College,05026,5,3,Masbate,Cataingan,Existing
Catanduanes State University-Panganiban,05027,5,2b,Catanduanes,Panganiban,Existing
Catanduanes Colleges,05028,5,1,Catanduanes,Virac,Existing
Catanduanes State University,05029,5,2a,Catanduanes,Virac,Existing
Ceguera Technological Colleges,05030,5,1,Camarines Sur,Iriga City,Existing
St. Louise De Marillac College of Sorsogon,05032,5,1,Sorsogon,Sorsogon City,Existing
Universidad de Sta. Isabel,05033,5,1,Camarines Sur,Naga City,Existing
Computer Arts and Technological College,05034,5,1,Albay,Legazpi City,Existing
Daniel B. Peña Memorial College Foundation,05039,5,1,Albay,Tabaco City,Existing
Divine Word College of Legazpi,05040,5,1,Albay,Legazpi City,Existing
"Dr. Emilio B. Espinosa, Sr. Memorial State College of Agriculture and Technology",05041,5,2a,Masbate,Mandaon,Existing
Felix O. Alfelor Sr. Foundation College,05044,5,1,Camarines Sur,Sipocot,Existing
Alfelor Sr. Memorial College,05045,5,1,Camarines Sur,Del Gallego,Existing
Fatima School of Science and Technology,05046,5,1,Camarines Sur,Goa,Existing
Holy Rosary Major Seminary,05048,5,1,Camarines Sur,Naga City,Existing
Holy Trinity College of Camarines Sur,05049,5,1,Camarines Sur,Bato,Existing
Immaculate Conception College-Albay,05050,5,1,Albay,Daraga,Existing
La Consolacion College-Iriga City,05053,5,1,Camarines Sur,Iriga City,Existing
La Consolacion College-Daet,05054,5,1,Camarines Norte,Daet,Existing
Liceo de Masbate,05056,5,1,Masbate,Masbate City,Existing
Liceo de San Jacinto Foundation,05057,5,1,Masbate,San Jacinto,Existing
Ligao Community College,05058,5,3,Albay,Ligao City,Existing
Mabini Colleges,05059,5,1,Camarines Norte,Daet,Existing
Mariners' Polytechnic Colleges Foundation of Canaman,05060,5,1,Camarines Sur,Canaman,Existing
Mariners' Polytechnic Colleges Foundation of Naga City,05061,5,1,Camarines Sur,Naga City,Existing
Mariners' Polytechnic Colleges Foundation of Legazpi City,05062,5,1,Albay,Legazpi City,Existing
Masbate Colleges,05063,5,1,Masbate,Masbate City,Existing
Mater Salutis College Seminary,05064,5,1,Albay,Daraga,Existing
Naga College Foundation,05065,5,1,Camarines Sur,Naga City,Existing
Osmeña Colleges,05066,5,1,Masbate,Masbate City,Existing
Our Lady of Lourdes College Foundation,05067,5,1,Camarines Norte,Daet,Existing
Our Lady of Peñafrancia Seminary,05068,5,1,Sorsogon,Sorsogon City,Existing
Partido College,05070,5,1,Camarines Sur,Goa,Existing
Partido State University,05071,5,2a,Camarines Sur,Goa,Existing
Perpetual Help Paramedical School,05072,5,1,Albay,Tabaco City,Existing
Pili Capital College,05074,5,1,Camarines Sur,Pili,Existing
Polangui Community College,05075,5,3,Albay,Polangui,Existing
Polytechnic Institute of Tabaco,05076,5,1,Albay,Tabaco City,Existing
Naga View Adventist College,05077,5,1,Camarines Sur,Naga City,Existing
R.G. de Castro Colleges,05078,5,1,Sorsogon,Bulan,Existing
Republic Colleges of Guinobatan,05079,5,1,Albay,Guinobatan,Existing
San Jose Community College,05081,5,3,Albay,Malilipot,Existing
Bicol University-Polangui Campus,05082,5,2b,Albay,Polangui,Existing
Sorsogon State University,05084,5,2a,Sorsogon,Sorsogon City,Existing
Southern Bicol Colleges,05085,5,1,Masbate,Masbate City,Existing
Southern Luzon Institute,05086,5,1,Sorsogon,Bulan,Existing
Southern Masbate Roosevelt College,05088,5,1,Masbate,Placer,Existing
Tabaco College,05089,5,1,Albay,Tabaco City,Existing
Tanchuling College,05090,5,1,Albay,Legazpi City,Existing
University of Northeastern Philippines,05091,5,1,Camarines Sur,Iriga City,Existing
University of Nueva Caceres,05092,5,1,Camarines Sur,Naga City,Existing
University of Saint Anthony,05093,5,1,Camarines Sur,Iriga City,Existing
Veritas College of Irosin,05096,5,1,Sorsogon,Irosin,Existing
Camarines Norte State College-Labo Campus,05099,5,2b,Camarines Norte,Labo,Existing
Camarines Norte State College-Mercedes Campus,05100,5,2b,Camarines Norte,Mercedes,Existing
Camarines Norte State College-Panganiban Campus,05101,5,2b,Camarines Norte,Jose Panganiban,Existing
Central Bicol State University of Agriculture-Calabanga,05103,5,2b,Camarines Sur,Calabanga,Existing
STI College-Legazpi,05107,5,1,Albay,Legazpi City,Existing
Partido State University-Sagñay Campus,05109,5,2b,Camarines Sur,Sagnay,Existing
Lower Isarog Foundation Exponent,05113,5,1,Camarines Sur,Tigaon,Existing
Partido State University-San Jose Campus,05118,5,2b,Camarines Sur,San Jose,Existing
Sorsogon State University-Bulan Campus,05119,5,2b,Sorsogon,Bulan,Existing
Sorsogon State University-Magallanes Campus,05120,5,2b,Sorsogon,Magallanes,Existing
Sorsogon State University-Castilla Campus,05121,5,2b,Sorsogon,Castilla,Existing
Speed Computer College,05122,5,1,Sorsogon,Sorsogon City,Existing
Partido State University-Tinambac Campus,05124,5,2b,Camarines Sur,Tinambac,Existing
Tiwi Community College,05126,5,3,Albay,Tiwi,Existing
Zamora Memorial College,05127,5,1,Albay,Bacacay,Existing
Colegio De Sta. Monica of Polangui,05128,5,1,Albay,Polangui,Existing
Computer Communication Development Institute-Legazpi City,05129,5,1,Albay,Legazpi City,Existing
Rapu-Rapu Community College,05131,5,3,Albay,Rapu-Rapu,Existing
Sorsogon College of Criminology,05132,5,1,Sorsogon,Sorsogon City,Existing
St. Peter Baptist College Foundation,05133,5,1,Camarines Sur,Lupi,Existing
Dr. Carlos S. Lanting College-Dr. Ruby Lanting Casaul Educational Foundation,05136,5,1,Albay,Tabaco City,Existing
PLT College of Guinobatan,05137,5,1,Albay,Guinobatan,Existing
